circuit,file,md_distance
c1908,candidate_5.bench,10.329047
c1908,candidate_6.bench,10.329054
c1908,candidate_20.bench,10.337619
c1908,candidate_19.bench,10.345319
c1908,candidate_22.bench,10.347788
c1908,candidate_18.bench,10.348231
c1908,candidate_4.bench,10.349815
c1908,candidate_21.bench,10.354715
c1908,candidate_17.bench,10.363746
c1908,candidate_14.bench,10.371769
c1908,candidate_2.bench,10.375179
c1908,candidate_13.bench,10.384977
c1908,candidate_12.bench,10.384978
c1908,candidate_15.bench,10.385078
c1908,candidate_1.bench,10.388497
c1908,candidate_7.bench,10.389797
c1908,candidate_8.bench,10.389818
c1908,candidate_9.bench,10.389903
c1908,candidate_10.bench,10.392151
c1908,candidate_3.bench,10.401708
c1908,candidate_16.bench,10.550134
c1908,candidate_11.bench,12.845647
c1908,candidate_0.bench,15.732815
