circuit,file,distance,rank
c2670,candidate_10.bench,9.40855794921049,1
c2670,candidate_3.bench,9.410425444397772,2
c2670,candidate_2.bench,9.411278810775894,3
c2670,candidate_0.bench,9.413720008994847,4
c2670,candidate_6.bench,9.418583520693787,5
c2670,candidate_9.bench,9.419309256781547,6
c2670,candidate_8.bench,9.419901132353276,7
c2670,candidate_7.bench,9.420000454582537,8
c2670,candidate_1.bench,9.422579522189459,9
c2670,candidate_5.bench,9.422978077453248,10
c2670,candidate_4.bench,14.666998797151244,11
