circuit,file,md_distance
s1488,candidate_7.bench,6.47641
s1488,candidate_5.bench,6.523029
s1488,candidate_2.bench,6.525447
s1488,candidate_3.bench,6.526535
s1488,candidate_1.bench,6.529058
s1488,candidate_4.bench,7.375891
s1488,candidate_8.bench,7.392699
s1488,candidate_13.bench,7.393553
s1488,candidate_10.bench,7.400434
s1488,candidate_9.bench,7.400541
s1488,candidate_15.bench,7.402809
s1488,candidate_12.bench,7.418926
s1488,candidate_14.bench,7.419172
s1488,candidate_11.bench,7.426206
s1488,candidate_6.bench,7.515302
s1488,candidate_0.bench,8.537864
