circuit,file,md_distance
s420a,candidate_5.bench,4.825285
s420a,candidate_3.bench,4.82908
s420a,candidate_13.bench,4.830886
s420a,candidate_1.bench,4.831756
s420a,candidate_10.bench,4.832196
s420a,candidate_0.bench,4.832676
s420a,candidate_6.bench,4.836046
s420a,candidate_11.bench,4.837905
s420a,candidate_4.bench,4.840182
s420a,candidate_2.bench,4.855748
s420a,candidate_15.bench,5.558793
s420a,candidate_14.bench,5.563353
s420a,candidate_8.bench,5.565403
s420a,candidate_7.bench,5.567617
s420a,candidate_9.bench,5.568171
s420a,candidate_12.bench,5.572781
s420a,candidate_16.bench,5.574429
