Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I818,1e-07,1e-07,1e-07,0.5,0.5
I15,1e-07,1e-07,1e-07,0.5625,0.4375
I164,1e-07,1e-07,1e-07,0.4997560977935791,0.5002439022064209
I163,1e-07,1e-07,1e-07,0.5001220107078552,0.4998779892921448
I162,1e-07,1e-07,1e-07,0.5000610202550888,0.4999389797449112
I240,1e-07,1e-07,1e-07,0.5000305138528347,0.4999694861471653
I239,1e-07,1e-07,1e-07,0.4999847421422601,0.5000152578577399
I238,1e-07,1e-07,1e-07,0.5000076291617006,0.4999923708382994
I237,1e-07,1e-07,1e-07,0.500003814639058,0.49999618536094204
I619.4,1e-07,1e-07,1e-07,0.9375,0.0625
I315,1e-07,1e-07,1e-07,0.5000019073340809,0.4999980926659191
11518,1e-07,1e-07,1e-07,0.4999990463293216,0.5000009536706784
I313,1e-07,1e-07,1e-07,0.5000004768362487,0.4999995231637513
I14,1e-07,1e-07,1e-07,0.453125,0.546875
I312,1e-07,1e-07,1e-07,0.5000002384183517,0.49999976158164827
I619.5,1e-07,1e-07,1e-07,0.9375,0.0625
I390,1e-07,1e-07,1e-07,0.5000001192092327,0.4999998807907673
I389,1e-07,1e-07,1e-07,0.49999994039536944,0.5000000596046306
I388,1e-07,1e-07,1e-07,0.5000000298023188,0.49999997019768117
I387,1e-07,1e-07,1e-07,0.5000000149011603,0.4999999850988397
I619.6,1e-07,1e-07,1e-07,0.9375,0.0625
I465,1e-07,1e-07,1e-07,0.5000000074505804,0.4999999925494196
I464,1e-07,1e-07,1e-07,0.4999999962747097,0.5000000037252903
I463,1e-07,1e-07,1e-07,0.5000000018626451,0.49999999813735485
I462,1e-07,1e-07,1e-07,0.5000000009313226,0.4999999990686774
I619.7,1e-07,1e-07,1e-07,0.9375,0.0625
I540,1e-07,1e-07,1e-07,0.5000000004656613,0.4999999995343387
I819,1e-07,1e-07,1e-07,0.5,0.5
I615.8,1e-07,1e-07,1e-07,0.75,0.25
I13,1e-07,1e-07,1e-07,0.52734375,0.47265625
I12,1e-07,1e-07,1e-07,0.5146484375,0.4853515625
I619.1,1e-07,1e-07,1e-07,0.9375,0.0625
I90,1e-07,1e-07,1e-07,0.507568359375,0.492431640625
I89,1e-07,1e-07,1e-07,0.49615478515625,0.50384521484375
I88,1e-07,1e-07,1e-07,0.5019378662109375,0.4980621337890625
I87,1e-07,1e-07,1e-07,0.5009727478027344,0.4990272521972656
I619.2,1e-07,1e-07,1e-07,0.9375,0.0625
I620.2,1e-07,1e-07,1e-07,0.99609375,0.00390625
I165,1e-07,1e-07,1e-07,0.5004873275756836,0.4995126724243164
I619.3,1e-07,1e-07,1e-07,0.9375,0.0625
I620.3,1e-07,1e-07,1e-07,0.999755859375,0.000244140625
I620.4,1e-07,1e-07,1e-07,0.9999847412109375,1.52587890625e-05
I620.5,1e-07,1e-07,1e-07,0.9999990463256836,9.5367431640625e-07
I620.6,1e-07,1e-07,1e-07,0.9999999403953552,1e-07
I620.7,1e-07,1e-07,1e-07,0.9999999962747097,1e-07
P.29,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
I1071.1,1e-07,1e-07,1e-07,0.9999999995343387,1e-07
11515,1e-07,1e-07,1e-07,1.0,1e-07
I791,1e-07,1e-07,1e-07,0.5,0.5
I792,1e-07,1e-07,1e-07,0.5,0.5
I794,1e-07,1e-07,1e-07,0.5,0.5
I802,1e-07,1e-07,1e-07,0.25,0.75
I803,1e-07,1e-07,1e-07,0.75,0.25
I800,1e-07,1e-07,1e-07,0.125,0.875
I618.7,1e-07,1e-07,1e-07,0.96875,0.03125
P.28,1e-07,1e-07,1e-07,0.9999999981373549,1e-07
I1071.2,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
I1066,1e-07,1e-07,1e-07,1e-07,0.9999999986030161
11516,1e-07,1e-07,1e-07,0.9999999986030161,1e-07
11517,1e-07,1e-07,1e-07,1.0,1e-07
I104,1e-07,1e-07,1e-07,0.5,0.5
I105,1e-07,1e-07,1e-07,0.5,0.5
I119,1e-07,1e-07,1e-07,0.25,0.75
I179,1e-07,1e-07,1e-07,0.5,0.5
I180,1e-07,1e-07,1e-07,0.5,0.5
I194,1e-07,1e-07,1e-07,0.25,0.75
I2.2,1e-07,1e-07,1e-07,0.9375,0.0625
I2.3,1e-07,1e-07,1e-07,0.9375,0.0625
I254,1e-07,1e-07,1e-07,0.5,0.5
I255,1e-07,1e-07,1e-07,0.5,0.5
I269,1e-07,1e-07,1e-07,0.25,0.75
I2.4,1e-07,1e-07,1e-07,0.9375,0.0625
I29,1e-07,1e-07,1e-07,0.5,0.5
I30,1e-07,1e-07,1e-07,0.5,0.5
I359.2,1e-07,1e-07,1e-07,0.5,0.5
I44,1e-07,1e-07,1e-07,0.25,0.75
I2.1,1e-07,1e-07,1e-07,0.9375,0.0625
I1.2,1e-07,1e-07,1e-07,0.96875,0.03125
I1.3,1e-07,1e-07,1e-07,0.998046875,0.001953125
I1.4,1e-07,1e-07,1e-07,0.9998779296875,0.0001220703125
I1.5,1e-07,1e-07,1e-07,0.9999923706054688,7.62939453125e-06
I346,1e-07,1e-07,1e-07,3.814697265625e-06,0.9999961853027344
I359.1,1e-07,1e-07,1e-07,0.9999961853027344,3.814697265625e-06
I359.3,1e-07,1e-07,1e-07,0.5000019073486328,0.4999980926513672
I359.4,1e-07,1e-07,1e-07,0.9999980926513672,1.9073486328125e-06
11519,1e-07,1e-07,1e-07,0.4999990463293216,0.5000009536706784
I1014,1e-07,1e-07,1e-07,0.5,0.5
I1015,1e-07,1e-07,1e-07,0.5,0.5
I103,1e-07,1e-07,1e-07,0.03125,0.96875
I1038,1e-07,1e-07,1e-07,0.5,0.5
I1039,1e-07,1e-07,1e-07,0.5,0.5
I1062,1e-07,1e-07,1e-07,0.5,0.5
I1063,1e-07,1e-07,1e-07,0.5,0.5
I121,1e-07,1e-07,1e-07,0.015625,0.984375
I124,1e-07,1e-07,1e-07,0.9921875,0.0078125
I123,1e-07,1e-07,1e-07,0.0078125,0.9921875
I125.1,1e-07,1e-07,1e-07,0.001953125,0.998046875
I128.1,1e-07,1e-07,1e-07,0.0078125,0.9921875
I128.2,1e-07,1e-07,1e-07,0.5,0.5
I128.3,1e-07,1e-07,1e-07,0.99609375,0.00390625
I128.4,1e-07,1e-07,1e-07,0.50390625,0.49609375
I134.1,1e-07,1e-07,1e-07,0.984375,0.015625
I134.2,1e-07,1e-07,1e-07,0.5,0.5
I134.3,1e-07,1e-07,1e-07,0.5078125,0.4921875
I134.4,1e-07,1e-07,1e-07,0.9921875,0.0078125
I140.1,1e-07,1e-07,1e-07,0.5,0.5
I140.2,1e-07,1e-07,1e-07,0.03125,0.96875
I140.3,1e-07,1e-07,1e-07,0.515625,0.484375
I140.4,1e-07,1e-07,1e-07,0.984375,0.015625
I147.1,1e-07,1e-07,1e-07,0.00390625,0.99609375
I117,1e-07,1e-07,1e-07,0.498046875,0.501953125
I178,1e-07,1e-07,1e-07,0.001953125,0.998046875
I196,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
