Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I124,1e-07,1e-07,1e-07,0.5,0.5
I126,1e-07,1e-07,1e-07,0.5,0.5
I127,1e-07,1e-07,1e-07,0.5,0.5
I135,1e-07,1e-07,1e-07,0.5,0.5
I136,1e-07,1e-07,1e-07,0.5,0.5
I137,1e-07,1e-07,1e-07,0.5,0.5
I8,1e-07,1e-07,1e-07,0.7397278346042725,0.2602721653957275
I227,1e-07,1e-07,1e-07,0.25,0.75
I228,1e-07,1e-07,1e-07,0.75,0.25
I241,1e-07,1e-07,1e-07,0.25,0.75
I9,1e-07,1e-07,1e-07,0.9300869709117295,0.06991302908827046
I141,1e-07,1e-07,1e-07,0.5,0.5
I371,1e-07,1e-07,1e-07,0.25,0.75
I10,1e-07,1e-07,1e-07,0.9154390096664429,0.08456099033355713
I142,1e-07,1e-07,1e-07,0.5,0.5
I253,1e-07,1e-07,1e-07,0.25,0.75
I400,1e-07,1e-07,1e-07,0.75,0.25
I399,1e-07,1e-07,1e-07,0.25,0.75
I424,1e-07,1e-07,1e-07,0.875,0.125
I433,1e-07,1e-07,1e-07,0.25,0.75
I434,1e-07,1e-07,1e-07,0.75,0.25
I349,1e-07,1e-07,1e-07,0.125,0.875
I437,1e-07,1e-07,1e-07,0.25,0.75
I11,1e-07,1e-07,1e-07,0.8775309841794581,0.12246901582054193
I143,1e-07,1e-07,1e-07,0.5,0.5
I427,1e-07,1e-07,1e-07,0.25,0.75
I398,1e-07,1e-07,1e-07,0.9375,0.0625
I329,1e-07,1e-07,1e-07,0.03125,0.96875
I282,1e-07,1e-07,1e-07,0.984375,0.015625
I12,1e-07,1e-07,1e-07,0.8555517231008752,0.14444827689912476
I144,1e-07,1e-07,1e-07,0.5,0.5
I296,1e-07,1e-07,1e-07,0.9375,0.0625
I412,1e-07,1e-07,1e-07,0.875,0.125
I335,1e-07,1e-07,1e-07,0.0625,0.9375
I490,1e-07,1e-07,1e-07,0.9375,0.0625
11473,1e-07,1e-07,1e-07,0.886934306610959,0.11306569338904104
I145,1e-07,1e-07,1e-07,0.5,0.5
I274,1e-07,1e-07,1e-07,0.96875,0.03125
I310,1e-07,1e-07,1e-07,0.75,0.25
I325,1e-07,1e-07,1e-07,0.125,0.875
I19,1e-07,1e-07,1e-07,0.9921875,0.0078125
I382,1e-07,1e-07,1e-07,0.75,0.25
I225,1e-07,1e-07,1e-07,0.015625,0.984375
I22,1e-07,1e-07,1e-07,0.984375,0.015625
I390,1e-07,1e-07,1e-07,0.75,0.25
I404,1e-07,1e-07,1e-07,0.75,0.25
I403,1e-07,1e-07,1e-07,0.25,0.75
